strain	virus	gene	host	accession	date	location	region	country	database	authors	url	title	journal	paper_url	previous_study
HCoV-229E-8_11_82b_DQ243970_2016-07-26	?	spike	Human	DQ243970	2016-07-26	Australia	Oceania	Australia	?	Chibo et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ243970	Analysis of human coronavirus 229E spike and nucleoprotein genes	J. Gen. Virol. 87 (PT 5), 1203-1208 (2006)	https://pubmed.ncbi.nlm.nih.gov/16603522	no
HCoV-229E-29_7_84_DQ243971_2016-07-26	?	spike	Human	DQ243971	2016-07-26	Australia	Oceania	Australia	?	Chibo et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ243971	Analysis of human coronavirus 229E spike and nucleoprotein genes	J. Gen. Virol. 87 (PT 5), 1203-1208 (2006)	https://pubmed.ncbi.nlm.nih.gov/16603522	no
HCoV-229E-5_9_84_DQ243972_2016-07-26	?	spike	Human	DQ243972	2016-07-26	Australia	Oceania	Australia	?	Chibo et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ243972	Analysis of human coronavirus 229E spike and nucleoprotein genes	J. Gen. Virol. 87 (PT 5), 1203-1208 (2006)	https://pubmed.ncbi.nlm.nih.gov/16603522	yes
HCoV-229E-24_6_90_DQ243973_2016-07-26	?	spike	Human	DQ243973	2016-07-26	Australia	Oceania	Australia	?	Chibo et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ243973	Analysis of human coronavirus 229E spike and nucleoprotein genes	J. Gen. Virol. 87 (PT 5), 1203-1208 (2006)	https://pubmed.ncbi.nlm.nih.gov/16603522	no
HCoV-229-25_6_92_DQ243974_2016-07-26	?	spike	Human	DQ243974	2016-07-26	Australia	Oceania	Australia	?	Chibo et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ243974	Analysis of human coronavirus 229E spike and nucleoprotein genes	J. Gen. Virol. 87 (PT 5), 1203-1208 (2006)	https://pubmed.ncbi.nlm.nih.gov/16603522	no
HCoV-229E-12_5_92_DQ243975_2016-07-26	?	spike	Human	DQ243975	2016-07-26	Australia	Oceania	Australia	?	Chibo et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ243975	Analysis of human coronavirus 229E spike and nucleoprotein genes	J. Gen. Virol. 87 (PT 5), 1203-1208 (2006)	https://pubmed.ncbi.nlm.nih.gov/16603522	no
HCoV-229E-17_6_92_DQ243976_2016-07-26	?	spike	Human	DQ243976	2016-07-26	Australia	Oceania	Australia	?	Chibo et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ243976	Analysis of human coronavirus 229E spike and nucleoprotein genes	J. Gen. Virol. 87 (PT 5), 1203-1208 (2006)	https://pubmed.ncbi.nlm.nih.gov/16603522	yes
HCoV-229E-8_8_01_DQ243977_2016-07-26	?	spike	Human	DQ243977	2016-07-26	Australia	Oceania	Australia	?	Chibo et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ243977	Analysis of human coronavirus 229E spike and nucleoprotein genes	J. Gen. Virol. 87 (PT 5), 1203-1208 (2006)	https://pubmed.ncbi.nlm.nih.gov/16603522	yes
HCoV-229E-27_8_01_DQ243978_2016-07-26	?	spike	Human	DQ243978	2016-07-26	Australia	Oceania	Australia	?	Chibo et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ243978	Analysis of human coronavirus 229E spike and nucleoprotein genes	J. Gen. Virol. 87 (PT 5), 1203-1208 (2006)	https://pubmed.ncbi.nlm.nih.gov/16603522	no
HCoV-229E-21_6_02_DQ243979_2016-07-26	?	spike	Human	DQ243979	2016-07-26	Australia	Oceania	Australia	?	Chibo et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ243979	Analysis of human coronavirus 229E spike and nucleoprotein genes	J. Gen. Virol. 87 (PT 5), 1203-1208 (2006)	https://pubmed.ncbi.nlm.nih.gov/16603522	no
HCoV-229E-6_1_03_DQ243980_2016-07-26	?	spike	Human	DQ243980	2016-07-26	Australia	Oceania	Australia	?	Chibo et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ243980	Analysis of human coronavirus 229E spike and nucleoprotein genes	J. Gen. Virol. 87 (PT 5), 1203-1208 (2006)	https://pubmed.ncbi.nlm.nih.gov/16603522	no
HCoV-229E-30_7_03_DQ243983_2016-07-26	?	spike	Human	DQ243983	2016-07-26	Australia	Oceania	Australia	?	Chibo et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ243983	Analysis of human coronavirus 229E spike and nucleoprotein genes	J. Gen. Virol. 87 (PT 5), 1203-1208 (2006)	https://pubmed.ncbi.nlm.nih.gov/16603522	no
HCoV-229E-14_8_03_DQ243984_2016-07-26	?	spike	Human	DQ243984	2016-07-26	Australia	Oceania	Australia	?	Chibo et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ243984	Analysis of human coronavirus 229E spike and nucleoprotein genes	J. Gen. Virol. 87 (PT 5), 1203-1208 (2006)	https://pubmed.ncbi.nlm.nih.gov/16603522	no
HCoV-229E-19_8_03_DQ243985_2016-07-26	?	spike	Human	DQ243985	2016-07-26	Australia	Oceania	Australia	?	Chibo et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ243985	Analysis of human coronavirus 229E spike and nucleoprotein genes	J. Gen. Virol. 87 (PT 5), 1203-1208 (2006)	https://pubmed.ncbi.nlm.nih.gov/16603522	no
HCoV-229E-25_8_03_DQ243986_2016-07-26	?	spike	Human	DQ243986	2016-07-26	Australia	Oceania	Australia	?	Chibo et al	https://www.ncbi.nlm.nih.gov/nuccore/DQ243986	Analysis of human coronavirus 229E spike and nucleoprotein genes	J. Gen. Virol. 87 (PT 5), 1203-1208 (2006)	https://pubmed.ncbi.nlm.nih.gov/16603522	no
RW_Stock_AF344186_2001-04-12	?	spike	Human	AF344186	2001-04-12	?	?	?	?	Bonavia et al	https://www.ncbi.nlm.nih.gov/nuccore/AF344186	Viral and cellular changes in a human cell line persistently	Unpublished	?	no
P11A_AF344187_2001-04-12	?	spike	Human	AF344187	2001-04-12	?	?	?	?	Bonavia et al	https://www.ncbi.nlm.nih.gov/nuccore/AF344187	Viral and cellular changes in a human cell line persistently	Unpublished	?	no
P11B_AF344188_2001-04-12	?	spike	Human	AF344188	2001-04-12	?	?	?	?	Bonavia et al	https://www.ncbi.nlm.nih.gov/nuccore/AF344188	Viral and cellular changes in a human cell line persistently	Unpublished	?	no
P100E_AF344189_2001-04-12	?	spike	Human	AF344189	2001-04-12	?	?	?	?	Bonavia et al	https://www.ncbi.nlm.nih.gov/nuccore/AF344189	Viral and cellular changes in a human cell line persistently	Unpublished	?	no
229E_AF304460_2001-07-11	?	spike	Human	AF304460	2001-07-11	?	?	?	?	Thiel et al	https://www.ncbi.nlm.nih.gov/nuccore/AF304460	Infectious RNA transcribed in vitro from a cDNA copy of the human	J. Gen. Virol. 82 (Pt 6), 1273-1281 (2001)	https://pubmed.ncbi.nlm.nih.gov/11369870	no
